review_id,customer_id,review_text,sentiment
REV-32,CUST-105957,Delivery took way too long and the phone case arrived damaged.,negative
REV-33,CUST-105986,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-34,CUST-103243,"The coffee maker broke after one week, very disappointed with the quality.",negative
REV-35,CUST-104275,"Excellent quality blender, exceeded my expectations. Will buy again!",positive
REV-36,CUST-100731,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-37,CUST-105571,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-38,CUST-103597,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-39,CUST-105522,"The sneakers broke after one week, very disappointed with the quality.",negative
REV-40,CUST-103577,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-41,CUST-100101,"Love the desk lamp, exactly as described. Highly recommend to others.",positive
REV-42,CUST-101081,"Love the desk lamp, exactly as described. Highly recommend to others.",positive
REV-43,CUST-104998,The desk lamp arrived on time and packaging was perfect. Five stars.,positive
REV-44,CUST-100562,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-45,CUST-100922,Customer support never responded about my wireless earbuds refund request.,negative
REV-46,CUST-102654,Delivery took way too long and the phone case arrived damaged.,negative
REV-47,CUST-102964,"The office chair broke after one week, very disappointed with the quality.",negative
REV-48,CUST-105346,"Would not recommend, the phone case did not match the description at all.",negative
REV-49,CUST-104753,Delivery took way too long and the sneakers arrived damaged.,negative
REV-50,CUST-105908,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-51,CUST-102224,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-52,CUST-102132,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-53,CUST-103906,"Excellent quality backpack, exceeded my expectations. Will buy again!",positive
REV-54,CUST-102703,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-55,CUST-101630,Customer support never responded about my phone case refund request.,negative
REV-56,CUST-104606,"Love the blender, exactly as described. Highly recommend to others.",positive
REV-57,CUST-100851,"Excellent quality blender, exceeded my expectations. Will buy again!",positive
REV-58,CUST-104784,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-59,CUST-100404,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-60,CUST-104761,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-61,CUST-100965,"Overpriced for what you get, the blender feels cheap and flimsy.",negative
REV-62,CUST-101815,"Fast delivery and the sneakers works great, very happy with this purchase.",positive
REV-63,CUST-102415,Delivery took way too long and the blender arrived damaged.,negative
REV-64,CUST-105292,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-65,CUST-101747,"Great customer support when my backpack had an issue, resolved quickly.",positive
REV-66,CUST-105953,Delivery took way too long and the sneakers arrived damaged.,negative
REV-67,CUST-105384,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-68,CUST-103938,"The backpack broke after one week, very disappointed with the quality.",negative
REV-69,CUST-100960,"The phone case broke after one week, very disappointed with the quality.",negative
REV-70,CUST-105905,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-71,CUST-101059,Customer support never responded about my backpack refund request.,negative
REV-72,CUST-100939,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-73,CUST-100750,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-74,CUST-104648,Customer support never responded about my blender refund request.,negative
REV-75,CUST-105813,"Love the desk lamp, exactly as described. Highly recommend to others.",positive
REV-76,CUST-100140,"Great customer support when my backpack had an issue, resolved quickly.",positive
REV-77,CUST-104416,Delivery took way too long and the desk lamp arrived damaged.,negative
REV-78,CUST-102238,"Fast delivery and the office chair works great, very happy with this purchase.",positive
REV-79,CUST-102345,"The blender broke after one week, very disappointed with the quality.",negative
REV-80,CUST-102611,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-81,CUST-104579,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-82,CUST-105901,Delivery took way too long and the wireless earbuds arrived damaged.,negative
REV-83,CUST-104116,The sneakers arrived on time and packaging was perfect. Five stars.,positive
REV-84,CUST-103120,"Fast delivery and the coffee maker works great, very happy with this purchase.",positive
REV-85,CUST-101833,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-86,CUST-101454,Customer support never responded about my sneakers refund request.,negative
REV-87,CUST-102510,"Overpriced for what you get, the office chair feels cheap and flimsy.",negative
REV-88,CUST-102778,"Love the sneakers, exactly as described. Highly recommend to others.",positive
REV-89,CUST-104915,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-90,CUST-103721,"The office chair broke after one week, very disappointed with the quality.",negative
REV-91,CUST-100800,"Would not recommend, the office chair did not match the description at all.",negative
REV-92,CUST-103267,"Great customer support when my office chair had an issue, resolved quickly.",positive
REV-93,CUST-105732,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-94,CUST-105663,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-95,CUST-101756,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-96,CUST-103738,Customer support never responded about my sneakers refund request.,negative
REV-97,CUST-104307,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-98,CUST-102450,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-99,CUST-101248,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-100,CUST-104366,Delivery took way too long and the phone case arrived damaged.,negative
REV-101,CUST-102755,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-102,CUST-105496,"Would not recommend, the desk lamp did not match the description at all.",negative
REV-103,CUST-101088,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-104,CUST-103279,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-105,CUST-100450,"The wireless earbuds broke after one week, very disappointed with the quality.",negative
REV-106,CUST-102080,"The wireless earbuds broke after one week, very disappointed with the quality.",negative
REV-107,CUST-104566,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-108,CUST-100309,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-109,CUST-101401,"Would not recommend, the desk lamp did not match the description at all.",negative
REV-110,CUST-105800,Delivery took way too long and the blender arrived damaged.,negative
REV-111,CUST-103455,The sneakers arrived on time and packaging was perfect. Five stars.,positive
REV-112,CUST-102713,"Fast delivery and the coffee maker works great, very happy with this purchase.",positive
REV-113,CUST-100959,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-114,CUST-102903,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-115,CUST-102175,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-116,CUST-101085,"Would not recommend, the phone case did not match the description at all.",negative
REV-117,CUST-101132,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-118,CUST-104387,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-119,CUST-103503,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-120,CUST-102407,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-121,CUST-101972,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-122,CUST-100561,"Fast delivery and the blender works great, very happy with this purchase.",positive
REV-123,CUST-102512,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-124,CUST-104723,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-125,CUST-104398,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-126,CUST-104257,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-127,CUST-104369,"The phone case broke after one week, very disappointed with the quality.",negative
REV-128,CUST-100324,"Overpriced for what you get, the phone case feels cheap and flimsy.",negative
REV-129,CUST-102746,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-130,CUST-103542,"Fast delivery and the wireless earbuds works great, very happy with this purchase.",positive
REV-131,CUST-104705,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-132,CUST-100994,"Great customer support when my phone case had an issue, resolved quickly.",positive
REV-133,CUST-102381,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-134,CUST-104795,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-135,CUST-103431,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-136,CUST-100893,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-137,CUST-101516,"Fast delivery and the wireless earbuds works great, very happy with this purchase.",positive
REV-138,CUST-105428,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-139,CUST-105752,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-140,CUST-105737,"Great customer support when my coffee maker had an issue, resolved quickly.",positive
REV-141,CUST-103041,"The desk lamp broke after one week, very disappointed with the quality.",negative
REV-142,CUST-100628,"Would not recommend, the sneakers did not match the description at all.",negative
REV-143,CUST-100957,"Love the desk lamp, exactly as described. Highly recommend to others.",positive
REV-144,CUST-105186,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-145,CUST-100787,"Would not recommend, the phone case did not match the description at all.",negative
REV-146,CUST-102270,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-147,CUST-105044,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-148,CUST-103359,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-149,CUST-101296,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-150,CUST-101972,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-151,CUST-105506,"Would not recommend, the desk lamp did not match the description at all.",negative
REV-152,CUST-102655,"Great customer support when my phone case had an issue, resolved quickly.",positive
REV-153,CUST-103772,"The coffee maker broke after one week, very disappointed with the quality.",negative
REV-154,CUST-104408,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-155,CUST-102550,The blender arrived on time and packaging was perfect. Five stars.,positive
REV-156,CUST-100544,"The wireless earbuds broke after one week, very disappointed with the quality.",negative
REV-157,CUST-105496,"Would not recommend, the office chair did not match the description at all.",negative
REV-158,CUST-104832,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-159,CUST-100379,"Fast delivery and the blender works great, very happy with this purchase.",positive
REV-160,CUST-102287,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-161,CUST-100224,"Overpriced for what you get, the blender feels cheap and flimsy.",negative
REV-162,CUST-100854,"Excellent quality sneakers, exceeded my expectations. Will buy again!",positive
REV-163,CUST-104831,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-164,CUST-103706,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-165,CUST-105310,"Overpriced for what you get, the backpack feels cheap and flimsy.",negative
REV-166,CUST-105395,"Would not recommend, the backpack did not match the description at all.",negative
REV-167,CUST-103505,"The wireless earbuds broke after one week, very disappointed with the quality.",negative
REV-168,CUST-101232,"Love the sneakers, exactly as described. Highly recommend to others.",positive
REV-169,CUST-102774,"Fast delivery and the office chair works great, very happy with this purchase.",positive
REV-170,CUST-105215,Customer support never responded about my coffee maker refund request.,negative
REV-171,CUST-105187,"Love the blender, exactly as described. Highly recommend to others.",positive
REV-172,CUST-103884,Customer support never responded about my wireless earbuds refund request.,negative
REV-173,CUST-105656,"Love the wireless earbuds, exactly as described. Highly recommend to others.",positive
REV-174,CUST-103914,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-175,CUST-103274,"Fast delivery and the office chair works great, very happy with this purchase.",positive
REV-176,CUST-105529,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-177,CUST-102629,"Fast delivery and the coffee maker works great, very happy with this purchase.",positive
REV-178,CUST-100601,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-179,CUST-105717,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-180,CUST-101404,"Would not recommend, the phone case did not match the description at all.",negative
REV-181,CUST-100884,Customer support never responded about my coffee maker refund request.,negative
REV-182,CUST-105762,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-183,CUST-102976,"Love the wireless earbuds, exactly as described. Highly recommend to others.",positive
REV-184,CUST-105339,"Excellent quality backpack, exceeded my expectations. Will buy again!",positive
REV-185,CUST-101794,"The blender broke after one week, very disappointed with the quality.",negative
REV-186,CUST-101407,"Great customer support when my office chair had an issue, resolved quickly.",positive
REV-187,CUST-104989,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-188,CUST-102470,"Fast delivery and the phone case works great, very happy with this purchase.",positive
REV-189,CUST-105581,"The backpack broke after one week, very disappointed with the quality.",negative
REV-190,CUST-105840,"Great customer support when my coffee maker had an issue, resolved quickly.",positive
REV-191,CUST-105090,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-192,CUST-105827,The sneakers arrived on time and packaging was perfect. Five stars.,positive
REV-193,CUST-100618,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-194,CUST-100560,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-195,CUST-104146,"Excellent quality sneakers, exceeded my expectations. Will buy again!",positive
REV-196,CUST-102573,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-197,CUST-104691,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-198,CUST-103781,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-199,CUST-100364,The blender arrived on time and packaging was perfect. Five stars.,positive
REV-200,CUST-104880,"The desk lamp broke after one week, very disappointed with the quality.",negative
REV-201,CUST-101846,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-202,CUST-103125,"Excellent quality sneakers, exceeded my expectations. Will buy again!",positive
REV-203,CUST-103781,The desk lamp arrived on time and packaging was perfect. Five stars.,positive
REV-204,CUST-101392,The desk lamp arrived on time and packaging was perfect. Five stars.,positive
REV-205,CUST-105122,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-206,CUST-104079,"Great customer support when my phone case had an issue, resolved quickly.",positive
REV-207,CUST-104469,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-208,CUST-105381,Delivery took way too long and the wireless earbuds arrived damaged.,negative
REV-209,CUST-100355,Delivery took way too long and the coffee maker arrived damaged.,negative
REV-210,CUST-103247,"The sneakers broke after one week, very disappointed with the quality.",negative
REV-211,CUST-100067,"Fast delivery and the blender works great, very happy with this purchase.",positive
REV-212,CUST-105528,"Excellent quality sneakers, exceeded my expectations. Will buy again!",positive
REV-213,CUST-105023,"Excellent quality blender, exceeded my expectations. Will buy again!",positive
REV-214,CUST-104682,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-215,CUST-105802,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-216,CUST-105136,The backpack arrived on time and packaging was perfect. Five stars.,positive
REV-217,CUST-102658,Customer support never responded about my desk lamp refund request.,negative
REV-218,CUST-101535,"Would not recommend, the office chair did not match the description at all.",negative
REV-219,CUST-105776,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-220,CUST-102213,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-221,CUST-102079,"Excellent quality phone case, exceeded my expectations. Will buy again!",positive
REV-222,CUST-105342,"The office chair broke after one week, very disappointed with the quality.",negative
REV-223,CUST-105222,"Fast delivery and the phone case works great, very happy with this purchase.",positive
REV-224,CUST-105559,"Fast delivery and the coffee maker works great, very happy with this purchase.",positive
REV-225,CUST-104577,"Great customer support when my coffee maker had an issue, resolved quickly.",positive
REV-226,CUST-102676,"Excellent quality backpack, exceeded my expectations. Will buy again!",positive
REV-227,CUST-100069,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-228,CUST-100188,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-229,CUST-100860,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-230,CUST-104123,"Would not recommend, the phone case did not match the description at all.",negative
REV-231,CUST-100717,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-232,CUST-102647,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-233,CUST-100962,Customer support never responded about my sneakers refund request.,negative
REV-234,CUST-105277,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-235,CUST-104497,"Great customer support when my backpack had an issue, resolved quickly.",positive
REV-236,CUST-102581,"Would not recommend, the office chair did not match the description at all.",negative
REV-237,CUST-100102,"Great customer support when my blender had an issue, resolved quickly.",positive
REV-238,CUST-102394,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-239,CUST-102783,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-240,CUST-102767,"Overpriced for what you get, the office chair feels cheap and flimsy.",negative
REV-241,CUST-103122,"Overpriced for what you get, the backpack feels cheap and flimsy.",negative
REV-242,CUST-100345,"Fast delivery and the office chair works great, very happy with this purchase.",positive
REV-243,CUST-100443,Customer support never responded about my office chair refund request.,negative
REV-244,CUST-101391,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-245,CUST-101993,"Love the wireless earbuds, exactly as described. Highly recommend to others.",positive
REV-246,CUST-101268,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-247,CUST-103717,"Love the backpack, exactly as described. Highly recommend to others.",positive
REV-248,CUST-105255,Customer support never responded about my office chair refund request.,negative
REV-249,CUST-105703,Delivery took way too long and the sneakers arrived damaged.,negative
REV-250,CUST-101270,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-251,CUST-100074,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-252,CUST-100173,Customer support never responded about my blender refund request.,negative
REV-253,CUST-103705,Delivery took way too long and the phone case arrived damaged.,negative
REV-254,CUST-104465,"Would not recommend, the phone case did not match the description at all.",negative
REV-255,CUST-105457,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-256,CUST-104045,"Overpriced for what you get, the sneakers feels cheap and flimsy.",negative
REV-257,CUST-100362,"Excellent quality coffee maker, exceeded my expectations. Will buy again!",positive
REV-258,CUST-102183,"Would not recommend, the backpack did not match the description at all.",negative
REV-259,CUST-100508,"Excellent quality backpack, exceeded my expectations. Will buy again!",positive
REV-260,CUST-100273,"Great customer support when my office chair had an issue, resolved quickly.",positive
REV-261,CUST-102389,"Would not recommend, the sneakers did not match the description at all.",negative
REV-262,CUST-100875,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-263,CUST-102139,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-264,CUST-102692,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-265,CUST-102621,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-266,CUST-100591,"Overpriced for what you get, the sneakers feels cheap and flimsy.",negative
REV-267,CUST-100962,"The sneakers broke after one week, very disappointed with the quality.",negative
REV-268,CUST-105534,"Fast delivery and the blender works great, very happy with this purchase.",positive
REV-269,CUST-101537,"Fast delivery and the backpack works great, very happy with this purchase.",positive
REV-270,CUST-104965,The phone case arrived on time and packaging was perfect. Five stars.,positive
REV-271,CUST-104513,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-272,CUST-102958,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-273,CUST-105308,Customer support never responded about my wireless earbuds refund request.,negative
REV-274,CUST-105038,"Excellent quality wireless earbuds, exceeded my expectations. Will buy again!",positive
REV-275,CUST-105427,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-276,CUST-101125,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-277,CUST-102209,Delivery took way too long and the wireless earbuds arrived damaged.,negative
REV-278,CUST-102111,"Overpriced for what you get, the phone case feels cheap and flimsy.",negative
REV-279,CUST-105100,Delivery took way too long and the sneakers arrived damaged.,negative
REV-280,CUST-102620,The backpack arrived on time and packaging was perfect. Five stars.,positive
REV-281,CUST-104022,"Love the wireless earbuds, exactly as described. Highly recommend to others.",positive
REV-282,CUST-104284,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-283,CUST-103781,"Would not recommend, the phone case did not match the description at all.",negative
REV-284,CUST-101824,Customer support never responded about my backpack refund request.,negative
REV-285,CUST-100075,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-286,CUST-102159,"Would not recommend, the phone case did not match the description at all.",negative
REV-287,CUST-101643,"Overpriced for what you get, the coffee maker feels cheap and flimsy.",negative
REV-288,CUST-103438,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-289,CUST-102510,"Great customer support when my coffee maker had an issue, resolved quickly.",positive
REV-290,CUST-102542,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-291,CUST-101841,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-292,CUST-100126,Delivery took way too long and the desk lamp arrived damaged.,negative
REV-293,CUST-102095,"Overpriced for what you get, the desk lamp feels cheap and flimsy.",negative
REV-294,CUST-101960,"Fast delivery and the blender works great, very happy with this purchase.",positive
REV-295,CUST-101160,"Love the office chair, exactly as described. Highly recommend to others.",positive
REV-296,CUST-100090,"The blender broke after one week, very disappointed with the quality.",negative
REV-297,CUST-103763,"The blender broke after one week, very disappointed with the quality.",negative
REV-298,CUST-103828,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-299,CUST-104263,Delivery took way too long and the phone case arrived damaged.,negative
REV-300,CUST-104678,"Great customer support when my wireless earbuds had an issue, resolved quickly.",positive
REV-301,CUST-102108,The office chair arrived on time and packaging was perfect. Five stars.,positive
REV-302,CUST-105698,"Would not recommend, the phone case did not match the description at all.",negative
REV-303,CUST-101029,"Great customer support when my sneakers had an issue, resolved quickly.",positive
REV-304,CUST-104278,"Overpriced for what you get, the sneakers feels cheap and flimsy.",negative
REV-305,CUST-101707,"Love the coffee maker, exactly as described. Highly recommend to others.",positive
REV-306,CUST-100976,"Fast delivery and the office chair works great, very happy with this purchase.",positive
REV-307,CUST-101795,Delivery took way too long and the office chair arrived damaged.,negative
REV-308,CUST-105671,"Would not recommend, the wireless earbuds did not match the description at all.",negative
REV-309,CUST-100750,Customer support never responded about my desk lamp refund request.,negative
REV-310,CUST-103135,"Overpriced for what you get, the blender feels cheap and flimsy.",negative
REV-311,CUST-100157,The desk lamp arrived on time and packaging was perfect. Five stars.,positive
REV-312,CUST-104171,"Excellent quality blender, exceeded my expectations. Will buy again!",positive
REV-313,CUST-104093,"Fast delivery and the desk lamp works great, very happy with this purchase.",positive
REV-314,CUST-101536,Customer support never responded about my office chair refund request.,negative
REV-315,CUST-103259,"Would not recommend, the office chair did not match the description at all.",negative
REV-316,CUST-100986,"The sneakers broke after one week, very disappointed with the quality.",negative
REV-317,CUST-104978,"Love the desk lamp, exactly as described. Highly recommend to others.",positive
REV-318,CUST-101755,"Excellent quality phone case, exceeded my expectations. Will buy again!",positive
REV-319,CUST-104828,"Excellent quality backpack, exceeded my expectations. Will buy again!",positive
REV-320,CUST-103378,Delivery took way too long and the coffee maker arrived damaged.,negative
REV-321,CUST-101543,The desk lamp arrived on time and packaging was perfect. Five stars.,positive
REV-322,CUST-101740,Customer support never responded about my blender refund request.,negative
REV-323,CUST-104682,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-324,CUST-104845,Delivery took way too long and the desk lamp arrived damaged.,negative
REV-325,CUST-100024,Customer support never responded about my phone case refund request.,negative
REV-326,CUST-102371,"Excellent quality office chair, exceeded my expectations. Will buy again!",positive
REV-327,CUST-104507,"Love the phone case, exactly as described. Highly recommend to others.",positive
REV-328,CUST-105913,The sneakers arrived on time and packaging was perfect. Five stars.,positive
REV-329,CUST-103183,"Great customer support when my backpack had an issue, resolved quickly.",positive
REV-330,CUST-103576,"The backpack broke after one week, very disappointed with the quality.",negative
REV-331,CUST-102601,"Great customer support when my backpack had an issue, resolved quickly.",positive
REV-332,CUST-101524,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-333,CUST-103590,"Overpriced for what you get, the blender feels cheap and flimsy.",negative
REV-334,CUST-103800,"Fast delivery and the phone case works great, very happy with this purchase.",positive
REV-335,CUST-104895,"The backpack broke after one week, very disappointed with the quality.",negative
REV-336,CUST-101343,The coffee maker arrived on time and packaging was perfect. Five stars.,positive
REV-337,CUST-100163,"Love the sneakers, exactly as described. Highly recommend to others.",positive
REV-338,CUST-103322,"Would not recommend, the backpack did not match the description at all.",negative
REV-339,CUST-105644,Delivery took way too long and the office chair arrived damaged.,negative
REV-340,CUST-100339,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-341,CUST-105587,"Overpriced for what you get, the wireless earbuds feels cheap and flimsy.",negative
REV-342,CUST-105236,The sneakers arrived on time and packaging was perfect. Five stars.,positive
REV-343,CUST-105486,The wireless earbuds arrived on time and packaging was perfect. Five stars.,positive
REV-344,CUST-104956,"Excellent quality phone case, exceeded my expectations. Will buy again!",positive
REV-345,CUST-103888,"Would not recommend, the coffee maker did not match the description at all.",negative
REV-346,CUST-102031,"The blender broke after one week, very disappointed with the quality.",negative
REV-347,CUST-102626,Delivery took way too long and the wireless earbuds arrived damaged.,negative
REV-348,CUST-102428,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-349,CUST-102296,"Excellent quality desk lamp, exceeded my expectations. Will buy again!",positive
REV-350,CUST-102684,Customer support never responded about my blender refund request.,negative
REV-351,CUST-102431,Customer support never responded about my office chair refund request.,negative
